organisation,register-url,name,entry-date,start-date,end-date
local-authority-eng:DAC,https://github.com/digital-land/alpha-data/tree/master/developer-contributions/local-planning-authority/dac,Dacorum Borough Council,,,
local-authority-eng:MSU,https://github.com/digital-land/alpha-data/tree/master/developer-contributions/local-planning-authority/msu,Mid Suffolk District Council,1974-04-01,1974-04-01,
local-authority-eng:BAB,https://github.com/digital-land/alpha-data/tree/master/developer-contributions/local-planning-authority/bab,Babergh District Council,1971-04-01,1974-04-01,
